"line","text","screenname","time","searchterm","location","followerscount","favoritescount","lat","lng","coords_coords","bbox_coords","geo_coords"
1,"@rep_stevewomack @WestPoint_USMA If cadets are expected to follow this code, shouldn’t you? https://t.co/OtTT3nHgse","troyparker2001",2018-11-10 02:24:57,"USMA","Bentonville, AR",17,0,NA,NA,NA,NA,NA
2,"@rep_stevewomack @WestPoint_USMA Practice the West Point Cadet Honor code, then. https://t.co/xXmBAoVwyB","troyparker2001",2018-11-10 00:52:53,"USMA","Bentonville, AR",17,1,NA,NA,NA,NA,NA
3,"@ScottWapnerCNBC - you have taken the lead in the media on supporting the vets and they appreciate it!
#Veterans #SaluteToService #Military @ReformedBroker @USArmy @WestPoint_USMA https://t.co/UZhyBSmkiZ","Ian_Winer",2018-11-10 02:23:52,"USMA","Venice Beach, Los Angeles",1127,1,NA,NA,NA,NA,NA
4,"!!!...Wo Lehja, Wo Andaaz Qasam hai teray Waadon ki,,
-
(""N Jan"" )
-  
!!!...Zara Bhi Shakk Nahi Huwa K Teri Muhabbat Jhooti thi..

#Usma...","ArMani_ShaiRi",2018-11-10 02:09:48,"USMA","#SWABI",1141,0,NA,NA,NA,NA,NA
5,"@KaoS_JeSta the good bf3 days","USMA_CaDeT",2018-11-10 01:55:06,"USMA","colorado",196,0,NA,NA,NA,NA,NA
6,"@LadyBrutal_ hell na <U+0001F602>","USMA_CaDeT",2018-11-06 09:07:07,"USMA","colorado",196,1,NA,NA,NA,NA,NA
7,"joustick is slapping ence","USMA_CaDeT",2018-11-08 18:33:11,"USMA","colorado",196,0,NA,NA,NA,NA,NA
8,"@LProof_ a new pc","USMA_CaDeT",2018-11-07 05:25:15,"USMA","colorado",196,0,NA,NA,NA,NA,NA
9,"@b1ologic joystick is shitting on them","USMA_CaDeT",2018-11-08 18:34:42,"USMA","colorado",196,1,NA,NA,NA,NA,NA
10,"cod matchmaking is shit were all prestige 3 5 7 and a 9th prestige then we get a lvl 10 as our 5th against sweats","USMA_CaDeT",2018-11-01 10:20:18,"USMA","colorado",196,1,NA,NA,NA,NA,NA
11,"@ThrowR6 ya boy stewie playin like a gold nova again","USMA_CaDeT",2018-11-02 21:01:42,"USMA","colorado",196,0,NA,NA,NA,NA,NA
12,"@_CreditStriker @xBHxCaptainCold @2kCompGames tbh both of these comments are crazy! each console has their comp!","USMA_CaDeT",2018-11-06 17:17:21,"USMA","colorado",196,1,NA,NA,NA,NA,NA
13,"@x2Pac_ThuGLorD lmfao bro","USMA_CaDeT",2018-11-07 23:34:53,"USMA","colorado",196,0,NA,NA,NA,NA,NA
14,"and this not just for 2k this is a life tip in any team sport/video game <U+0001F44C><U+0001F3FE> https://t.co/9EeGBBbXie","USMA_CaDeT",2018-11-06 06:04:08,"USMA","colorado",196,2,NA,NA,NA,NA,NA
15,"@REESEgetBUCKS @WalkOnWarriors @2KCrewFinder inv me reese","USMA_CaDeT",2018-11-06 06:01:19,"USMA","colorado",196,0,NA,NA,NA,NA,NA
16,"@REESEgetBUCKS @WalkOnWarriors @2KCrewFinder yea","USMA_CaDeT",2018-11-06 06:01:12,"USMA","colorado",196,0,NA,NA,NA,NA,NA
17,"@booozle93 @VibeOfRape @DirtYHDZ_Banned @AliTheGoatYT @HankDaTank @Ronnie2K @Beluba think about what u just said and hit me back up bro","USMA_CaDeT",2018-11-06 20:28:46,"USMA","colorado",196,2,NA,NA,NA,NA,NA
18,"imagine shooting bodies in a gb then i drop 17 on your head <U+0001F602>","USMA_CaDeT",2018-11-01 04:43:46,"USMA","colorado",196,1,NA,NA,NA,NA,NA
19,"@ThrowR6 looks like us out there smh","USMA_CaDeT",2018-11-02 21:11:57,"USMA","colorado",196,1,NA,NA,NA,NA,NA
20,"hate how hud messes up in gbs on cod","USMA_CaDeT",2018-11-01 03:53:43,"USMA","colorado",196,2,NA,NA,NA,NA,NA
21,"pure rim in the lab <U+0001F440><U+0001F440><U+0001F648>","USMA_CaDeT",2018-11-08 19:15:23,"USMA","colorado",196,0,NA,NA,NA,NA,NA
22,"fuck that cod time","USMA_CaDeT",2018-11-04 03:08:21,"USMA","colorado",196,2,NA,NA,NA,NA,NA
23,"@scumoz541 shits bad","USMA_CaDeT",2018-11-04 03:08:11,"USMA","colorado",196,1,NA,NA,NA,NA,NA
24,"buying a new pc soon!! its been a while","USMA_CaDeT",2018-11-04 23:07:38,"USMA","colorado",196,5,NA,NA,NA,NA,NA
25,"@ThrowR6 but thats astralis ill give them a break but cmon","USMA_CaDeT",2018-11-02 21:01:22,"USMA","colorado",196,0,NA,NA,NA,NA,NA
26,"joystick*","USMA_CaDeT",2018-11-08 18:41:13,"USMA","colorado",196,0,NA,NA,NA,NA,NA
27,"@booozle93 @VibeOfRape @DirtYHDZ_Banned @AliTheGoatYT @HankDaTank @Ronnie2K @Beluba idc tbh u good","USMA_CaDeT",2018-11-06 21:02:05,"USMA","colorado",196,0,NA,NA,NA,NA,NA
28,"pray for me and these randoms https://t.co/bX7zvwfyDw","USMA_CaDeT",2018-11-04 02:42:57,"USMA","colorado",196,4,NA,NA,NA,NA,NA
29,"@VibeOfRape @DirtYHDZ_Banned @AliTheGoatYT @HankDaTank @Ronnie2K @Beluba he messaged him back in the morning lmao yall cant be serious","USMA_CaDeT",2018-11-06 15:55:44,"USMA","colorado",196,7,NA,NA,NA,NA,NA
30,"seaside saug hit barrels lmao shit is aidssss","USMA_CaDeT",2018-11-03 04:12:13,"USMA","colorado",196,2,NA,NA,NA,NA,NA
31,"@R6Filthy sheesh papi","USMA_CaDeT",2018-11-02 20:48:45,"USMA","colorado",196,1,NA,NA,NA,NA,NA
32,"MIBR just lost to fucking cloud 9 with 3 stand ins and 1 being the coach!!! thats a yikes","USMA_CaDeT",2018-11-02 20:48:00,"USMA","colorado",196,2,NA,NA,NA,NA,NA
33,"@AshleyMFSanders damn hate that you gettin treated differently cuz of your gender!!","USMA_CaDeT",2018-11-08 18:34:24,"USMA","colorado",196,1,NA,NA,NA,NA,NA
34,"@KidSkys bro the forsaken profile pic <U+0001F602><U+0001F602><U+0001F602><U+0001F62D><U+0001F62D><U+0001F62D>","USMA_CaDeT",2018-11-09 00:10:45,"USMA","colorado",196,0,NA,NA,NA,NA,NA
35,"@MorphanTime @booozle93 @VibeOfRape @DirtYHDZ_Banned @AliTheGoatYT @HankDaTank @Ronnie2K @Beluba lmao fr","USMA_CaDeT",2018-11-06 20:44:41,"USMA","colorado",196,1,NA,NA,NA,NA,NA
36,"don't sell us https://t.co/ahsbi1Y7J9","USMA_CaDeT",2018-11-07 23:58:25,"USMA","colorado",196,0,NA,NA,NA,NA,NA
37,"@goinZESTWAYS we be hyu bro","USMA_CaDeT",2018-11-06 00:01:52,"USMA","colorado",196,0,NA,NA,NA,NA,NA
